stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\gustavo.pneumann\source\repos\Project1\x64\Debug\allegro5.cfg r
d3d      W         d3d_disp.cpp:603  d3d_destroy_device               [  20.48082] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1557 d3d_display_thread_proc          [  20.49348] d3d display thread exits
dtor     D               dtor.c:227  _al_unregister_destructor        [  20.49474] removed dtor for queue 0000020D9136A8D0
dtor     D               dtor.c:116  _al_run_destructors              [  20.49494] calling dtor for ttf_font 0000020D94157DE0, func 00007FFDC39C128F
dtor     D               dtor.c:227  _al_unregister_destructor        [  20.49509] removed dtor for ttf_font 0000020D94157DE0
dtor     D               dtor.c:116  _al_run_destructors              [  20.49586] calling dtor for bitmap 0000020D9A1E52F0, func 00007FFD44E8118B
dtor     D               dtor.c:227  _al_unregister_destructor        [  20.49614] removed dtor for bitmap 0000020D9A1E52F0
dtor     D               dtor.c:116  _al_run_destructors              [  20.49633] calling dtor for bitmap 0000020D9416ED80, func 00007FFD44E8118B
dtor     D               dtor.c:227  _al_unregister_destructor        [  20.49654] removed dtor for bitmap 0000020D9416ED80
dtor     D               dtor.c:227  _al_unregister_destructor        [  20.49681] removed dtor for sample_instance 0000020D913257A0
dtor     D               dtor.c:227  _al_unregister_destructor        [  20.49705] removed dtor for mixer 0000020D913141D0
audio-dsound D           dsound.cpp:539  _dsound_stop_voice               [  20.49723] Stopping voice
audio-dsound D           dsound.cpp:556  _dsound_stop_voice               [  20.49740] Joining thread
audio-dsound D           dsound.cpp:562  _dsound_stop_voice               [  20.50117] Joined thread
audio-dsound D           dsound.cpp:564  _dsound_stop_voice               [  20.50137] Destroying thread
audio-dsound D           dsound.cpp:566  _dsound_stop_voice               [  20.50148] Thread destroyed
audio-dsound D           dsound.cpp:573  _dsound_stop_voice               [  20.50161] Releasing buffer
audio-dsound I           dsound.cpp:577  _dsound_stop_voice               [  20.50172] Voice stopped
dtor     D               dtor.c:227  _al_unregister_destructor        [  20.50185] removed dtor for voice 0000020D913273C0
audio-dsound D           dsound.cpp:391  _dsound_deallocate_voice         [  20.50196] Deallocating voice
audio-dsound D           dsound.cpp:396  _dsound_deallocate_voice         [  20.50207] Deallocated voice
audio-dsound D           dsound.cpp:304  _dsound_close                    [  20.50219] Releasing device
audio-dsound D           dsound.cpp:309  _dsound_close                    [  20.51267] Released device
audio-dsound I           dsound.cpp:310  _dsound_close                    [  20.51286] DirectSound closed
